Class,Gene,Encodings
aminoglycoside,v473_07990,2
aminoglycoside,ve25_06015,2
aminoglycoside,vi26_20275,2
aminoglycoside,vibniftn2_1190029,2
aminoglycoside,vk98_17900,2
aminoglycoside,vl04_15770,2
aminoglycoside,vl23_16705,2
aminoglycoside,vm57_08830,2
aminoglycoside,vn23_18795,2
aminoglycoside,vo68_05910,2
aminoglycoside,vo70_16065,2
aminoglycoside,vr73_12885,2
aminoglycoside,w7k_07820,2
aminoglycoside,wh87_16890,2
aminoglycoside,wh91_09680,2
aminoglycoside,wn59_12960,2
aminoglycoside,ws45_17420,2
aminoglycoside,ws62_05630,2
aminoglycoside,ws68_05870,2
aminoglycoside,ws70_17400,2
aminoglycoside,ws71_14620,2
aminoglycoside,ws72_29690,2
aminoglycoside,ws73_11565,2
aminoglycoside,ws86_18550,2
aminoglycoside,x971_2251,2
aminoglycoside,x980_4941,2
aminoglycoside,xa26_51950,2
aminoglycoside,xb05_09780,2
aminoglycoside,xdd1_0504,2
aminoglycoside,xm25_16535,2
aminoglycoside,xpu_0115,2
aminoglycoside,xpu_4042,2
aminoglycoside,xtalmg727_1576,2
aminoglycoside,xtplmg728_1044,2
aminoglycoside,xtplmg730_3131,2
aminoglycoside,xve_3490,2
aminoglycoside,y886_30125,2
aminoglycoside,yh67_08905,2
aminoglycoside,ymoll0001_20050,2
bacitracin,a245_07939,3
bacitracin,ase31_19850,3
bacitracin,baca,3
bacitracin,baca1,3
bacitracin,baca2,3
bacitracin,baha,3
bacitracin,bcra,3
bacitracin,bcrc,3
bacitracin,bcrd,3
bacitracin,be04_17150,3
bacitracin,be08_25670,3
bacitracin,be17_17935,3
bacitracin,be18_32075,3
bacitracin,be21_07815,3
bacitracin,csv86_02372,3
bacitracin,upk,3
bacitracin,uppp,3
bacitracin,uppp1,3
bacitracin,uppp2,3
bacitracin,uppp3,3
bacitracin,uppp5,3
bacitracin,uppp_1,3
bacitracin,uppp_2,3
bacitracin,uppp_3,3
bacitracin,uppp_4,3
bacitracin,uppp_5,3
bacitracin,v520_22670,3
bacitracin,yubb,3
beta_lactam,6,4
beta_lactam,a13w_03460,4
beta_lactam,a1sc_03510,4
beta_lactam,a1ws_00156,4
beta_lactam,a311_00288,4
beta_lactam,a31e_04029,4
beta_lactam,a3782_02695,4
beta_lactam,a3782_22205,4
beta_lactam,a3k91_1255,4
beta_lactam,a5726_00470,4
beta_lactam,a6804_08920,4
beta_lactam,a9196_14360,4
beta_lactam,a936_17376,4
beta_lactam,aa982_22440,4
beta_lactam,aa984_14190,4
beta_lactam,aav95_16190,4
beta_lactam,ab182_22595,4
beta_lactam,ab26_5212,4
beta_lactam,ab26_5377,4
beta_lactam,ab34_4949,4
beta_lactam,ab432_03435,4
beta_lactam,ab447_210840,4
beta_lactam,ab685_17190,4
beta_lactam,abv89_11680,4
beta_lactam,abw01_18255,4
beta_lactam,abw06_06170,4
beta_lactam,ac067_05550,4
beta_lactam,ac240_12925,4
beta_lactam,ac241_04730,4
beta_lactam,ac241_12335,4
beta_lactam,ac241_15790,4
beta_lactam,ac499_5646,4
beta_lactam,ac503_3575,4
beta_lactam,ac505_1001,4
beta_lactam,ac624_15330,4
beta_lactam,aca30_14580,4
beta_lactam,acc,4
beta_lactam,acin5021_2924,4
beta_lactam,acinnav57_2787,4
beta_lactam,acinwc141_2773,4
beta_lactam,acinwc323_3783,4
beta_lactam,acinwc487_2691,4
beta_lactam,acinwc743_0148,4
beta_lactam,acinwca92_2656,4
beta_lactam,acr52_25270,4
beta_lactam,acs78_21095,4
beta_lactam,acs92_11515,4
beta_lactam,acs92_18865,4
beta_lactam,acs95_02835,4
beta_lactam,acs95_07610,4
beta_lactam,act,4
beta_lactam,act4_020_00170,4
beta_lactam,acu52_03190,4
beta_lactam,acu57_19250,4
beta_lactam,acu81_15235,4
beta_lactam,acx03_24505,4
beta_lactam,acz11_19375,4
beta_lactam,adc,4
beta_lactam,adc56,4
beta_lactam,adc74,4
beta_lactam,adc75,4
beta_lactam,adc76,4
beta_lactam,adc77,4
beta_lactam,adc78,4
beta_lactam,adk43_05615,4
beta_lactam,adk70_19205,4
beta_lactam,adk76_27725,4
beta_lactam,adk86_10240,4
beta_lactam,adk97_23745,4
beta_lactam,adk98_37990,4
beta_lactam,adl21_29550,4
beta_lactam,adl27_50800,4
beta_lactam,adl32_22165,4
beta_lactam,ae24_04439,4
beta_lactam,aer,4
beta_lactam,af331_13055,4
beta_lactam,af332_00150,4
beta_lactam,af41_03335,4
beta_lactam,af42_04072,4
beta_lactam,afa91_26250,4
beta_lactam,afl22_19085,4
beta_lactam,afl42_15675,4
beta_lactam,afm11_22160,4
beta_lactam,aga26_18605,4
beta_lactam,ah4ak4_1197,4
beta_lactam,ah4ak4_4246,4
beta_lactam,aha_4258,4
beta_lactam,aim,4
beta_lactam,aj90_05610,4
beta_lactam,ak972_2544,4
beta_lactam,akg99_18240,4
beta_lactam,al012_16990,4
beta_lactam,al503_01490,4
beta_lactam,al504_23915,4
beta_lactam,al522_14075,4
beta_lactam,alo40_02551,4
beta_lactam,alo50_101023,4
beta_lactam,alo63_01502,4
beta_lactam,alo72_03788,4
beta_lactam,alo74_00598,4
beta_lactam,alo84_04992,4
beta_lactam,alo86_01849,4
beta_lactam,alo87_04986,4
beta_lactam,alo88_04947,4
beta_lactam,alo94_201046,4
beta_lactam,am232_20245,4
beta_lactam,am233_18505,4
beta_lactam,am266_00770,4
beta_lactam,am506_04660,4
beta_lactam,am629_10065,4
beta_lactam,amc98_05110,4
beta_lactam,ampa,4
beta_lactam,ampc,4
beta_lactam,ampc1,4
beta_lactam,ampc2,4
beta_lactam,ampc_1,4
beta_lactam,ampc_2,4
beta_lactam,amph,4
beta_lactam,amps,4
beta_lactam,amq68_09385,4
beta_lactam,amr94_02915,4
beta_lactam,amr94_07320,4
beta_lactam,amr94_10155,4
beta_lactam,ams61_14265,4
beta_lactam,ams64_00580,4
beta_lactam,ams64_05195,4
beta_lactam,an402_1544,4
beta_lactam,an402_4634,4
beta_lactam,an402_5201,4
beta_lactam,an672_11615,4
beta_lactam,and4_10224,4
beta_lactam,ao353_20470,4
beta_lactam,ao703_07405,4
beta_lactam,ao724_16170,4
beta_lactam,ao724_19535,4
beta_lactam,ao734_03905,4
beta_lactam,ao734_18570,4
beta_lactam,aox65_14345,4
beta_lactam,apb94_11310,4
beta_lactam,apd06_15965,4
beta_lactam,apd31_00100,4
beta_lactam,apeco2_00290,4
beta_lactam,apr47_42920,4
beta_lactam,apt89_02570,4
beta_lactam,apt89_22520,4
beta_lactam,apu02_07270,4
beta_lactam,apu18_25380,4
beta_lactam,aqu,4
beta_lactam,as145_19545,4
beta_lactam,as145_22975,4
beta_lactam,as180_17385,4
beta_lactam,as188_14525,4
beta_lactam,as202_10895,4
beta_lactam,as888_05355,4
beta_lactam,asa01s_002_00950,4
beta_lactam,asa01s_103_00100,4
beta_lactam,asc64_11900,4
beta_lactam,asc78_12905,4
beta_lactam,asc92_22490,4
beta_lactam,asc94_15090,4
beta_lactam,asd05_04445,4
beta_lactam,asd06_10205,4
beta_lactam,asd1617_05767,4
beta_lactam,asd16_16550,4
beta_lactam,asd34_02750,4
beta_lactam,ase04_11055,4
beta_lactam,ase46_13595,4
beta_lactam,ase48_07805,4
beta_lactam,ase51_07330,4
beta_lactam,ase99_23780,4
beta_lactam,asf13_11450,4
beta_lactam,asf86_08960,4
beta_lactam,asg61_24945,4
beta_lactam,asg65_27855,4
beta_lactam,asg66_02340,4
beta_lactam,asg76_13535,4
beta_lactam,asg97_25155,4
beta_lactam,asg98_06885,4
beta_lactam,asg99_21105,4
beta_lactam,ash00_00180,4
beta_lactam,asu65_19610,4
beta_lactam,asv07_20330,4
beta_lactam,asv18_09260,4
beta_lactam,at258_05650,4
beta_lactam,at258_08370,4
beta_lactam,at258_18160,4
beta_lactam,at258_18265,4
beta_lactam,at261_04240,4
beta_lactam,at261_08945,4
beta_lactam,at267_09870,4
beta_lactam,at268_05175,4
beta_lactam,at269_19070,4
beta_lactam,at269_23675,4
beta_lactam,at269_26200,4
beta_lactam,at270_13635,4
beta_lactam,at270_14340,4
beta_lactam,at272_02940,4
beta_lactam,at274_14125,4
beta_lactam,atn06_12140,4
beta_lactam,atn06_12195,4
beta_lactam,atn06_17210,4
beta_lactam,aty39_14210,4
beta_lactam,au186_01365,4
beta_lactam,au188_10735,4
beta_lactam,au192_24225,4
beta_lactam,au195_01160,4
beta_lactam,au385_04395,4
beta_lactam,aul54_04575,4
beta_lactam,av650_16790,4
beta_lactam,av650_16940,4
beta_lactam,av650_28380,4
beta_lactam,aw879_21740,4
beta_lactam,awb71_00260,4
beta_lactam,awb73_01647,4
beta_lactam,awb74_01351,4
beta_lactam,awb75_03765,4
beta_lactam,awb76_01197,4
beta_lactam,awb77_01135,4
beta_lactam,awb79_01201,4
beta_lactam,awb80_07683,4
beta_lactam,awb81_03660,4
beta_lactam,awb82_05438,4
beta_lactam,awb83_03995,4
beta_lactam,awi28_19250,4
beta_lactam,awt69_002012,4
beta_lactam,aww70_04275,4
beta_lactam,aww70_18715,4
beta_lactam,aww70_20720,4
beta_lactam,aww70_26290,4
beta_lactam,aww73_04470,4
beta_lactam,awx17_11465,4
beta_lactam,ax282_13510,4
beta_lactam,axf37_08125,4
beta_lactam,axw78_12100,4
beta_lactam,axw78_15340,4
beta_lactam,axx16_2525,4
beta_lactam,ayk81_05465,4
beta_lactam,ayk81_08635,4
beta_lactam,ayk81_28945,4
beta_lactam,az46_0221210,4
beta_lactam,b224_1061,4
beta_lactam,b224_5390,4
beta_lactam,b4077_0876,4
beta_lactam,b4077_2344,4
beta_lactam,b4077_2467,4
beta_lactam,b4077_2479,4
beta_lactam,b4077_3831,4
beta_lactam,b4079_1038,4
beta_lactam,b4079_5004,4
beta_lactam,b4080_2229,4
beta_lactam,b4080_3222,4
beta_lactam,b4147_1099,4
beta_lactam,b4147_2149,4
beta_lactam,b4147_2161,4
beta_lactam,b4147_3683,4
beta_lactam,b479_27189,4
beta_lactam,b590_12618,4
beta_lactam,b878_10312,4
beta_lactam,b932_2238,4
beta_lactam,ba1draft_00723,4
beta_lactam,ba1draft_04049,4
beta_lactam,baba_00315,4
beta_lactam,baba_08541,4
beta_lactam,bacsa_2220,4
beta_lactam,bacste_01456,4
beta_lactam,baga_16895,4
beta_lactam,balh_2254,4
beta_lactam,bama_03925,4
beta_lactam,bama_18520,4
beta_lactam,bamb_6103,4
beta_lactam,bamiop4010draft_1403,4
beta_lactam,bammc406_5864,4
beta_lactam,bammex5draft_6573,4
beta_lactam,bamy6639_17555,4
beta_lactam,bc1001_5831,4
