group,variable,value
aac(6')Ib-cr-like,PM565,2
aacA4-like,PM565,2
aadA1,PM565,0
aadA2,PM565,0
aadA2-like,PM565,0
aph(3')-VIa-like,PM565,0
armA,PM565,0
armA-like,PM565,0
blaCTX-M-15,PM565,4
blaCTX-M-15-like,PM565,0
blaLEN12-like,PM565,0
blaNDM-1,PM565,0
blaNDM-7-like,PM565,0
blaOXA-1,PM565,0
blaOXA-232,PM565,4
blaOXA-232-like,PM565,0
blaOXA-9-like,PM565,0
blaSHV-1-like,PM565,0
blaSHV-11,PM565,4
blaSHV-11-like,PM565,0
blaSHV-28,PM565,0
blaSHV-28-like,PM565,0
blaTEM-1B,PM565,4
catA1-like,PM565,0
catB3-like,PM565,0
dfrA1,PM565,0
dfrA12,PM565,0
dfrA14-like,PM565,0
erm(B)-like,PM565,0
fosA-like,PM565,9
mph(A)-like,PM565,0
mph(E),PM565,0
mph(E)-like,PM565,0
msr(E),PM565,0
oqxA-like,PM565,0
oqxB-like,PM565,0
rmtf,PM565,2
rmtf-like,PM565,0
strA,PM565,2
strB,PM565,34
sul1,PM565,0
sul1-like,PM565,0
sul2,PM565,27
tet(D),PM565,0
ARR-2,PM716,0
QnrB1,PM716,0
QnrB1-like,PM716,0
QnrB66-like,PM716,0
QnrS1,PM716,24
aac(3)-IIa-like,PM716,0
aac(6')-Ib-like,PM716,0
aac(6')Ib-cr,PM716,0
aac(6')Ib-cr-like,PM716,2
aacA4-like,PM716,2
aadA1,PM716,2
aadA2,PM716,2
aadA2-like,PM716,0
aph(3')-VIa-like,PM716,2
armA,PM716,2
armA-like,PM716,0
blaCTX-M-15,PM716,4
blaCTX-M-15-like,PM716,0
blaLEN12-like,PM716,0
blaNDM-1,PM716,4
blaNDM-7-like,PM716,0
blaOXA-1,PM716,4
blaOXA-232,PM716,4
blaOXA-232-like,PM716,0
blaOXA-9-like,PM716,4
blaSHV-1-like,PM716,0
blaSHV-11,PM716,0
blaSHV-11-like,PM716,0
blaSHV-28,PM716,0
blaSHV-28-like,PM716,4
blaTEM-1B,PM716,0
catA1-like,PM716,0
catB3-like,PM716,6
dfrA1,PM716,32
dfrA12,PM716,32
dfrA14-like,PM716,0
erm(B)-like,PM716,0
fosA-like,PM716,9
mph(A)-like,PM716,0
mph(E),PM716,0
mph(E)-like,PM716,15
msr(E),PM716,34
oqxA-like,PM716,24
oqxB-like,PM716,24
rmtf,PM716,0
rmtf-like,PM716,0
strA,PM716,0
strB,PM716,0
sul1,PM716,27
sul1-like,PM716,0
sul2,PM716,0
tet(D),PM716,0
